#gene_id	#GO_term	#Description
default-0_rep_c18962|m.15010	GO:0006730	one-carbon metabolic process
default-0_rep_c11594|m.9601	GO:0006412	translation
default-0_c3770|m.3298	GO:0030488	tRNA methylation
default-0_rep_c51436|m.35483	GO:0051603	proteolysis involved in cellular protein catabolic process
default-0_rep_c51436|m.35483	GO:0006511	ubiquitin-dependent protein catabolic process
default-0_rep_c72870|m.48891	GO:0006412	translation
default-0_dn_rep_c866|m.803	GO:0007017	microtubule-based process
default-0_c108410|m.67219	GO:0006351	transcription, DNA-templated
default-0_rep_c56080|m.38585	GO:0005975	carbohydrate metabolic process
default-0_rep_c26088|m.19913	GO:0006662	glycerol ether metabolic process
default-0_rep_c26088|m.19913	GO:0045454	cell redox homeostasis
default-0_rep_c46906|m.32512	GO:0042256	mature ribosome assembly
default-0_rep_c40140|m.27808	GO:0006555	methionine metabolic process
default-0_rep_c40140|m.27808	GO:0055114	oxidation-reduction process
default-0_rep_c79633|m.53535	GO:0008152	metabolic process
default-0_c82422|m.55144	GO:0006479	protein methylation
default-0_c6028|m.5249	GO:0006810	transport
default-0_c6028|m.5249	GO:0016192	vesicle-mediated transport
default-0_c24546|m.18883	GO:0001522	pseudouridine synthesis
default-0_c24546|m.18883	GO:0009451	RNA modification
default-0_rep_c55689|m.38306	GO:0006412	translation
default-0_rep_c92692|m.60099	GO:0006099	tricarboxylic acid cycle
default-0_rep_c92692|m.60099	GO:0015977	carbon fixation
default-0_c96444|m.61818	GO:0030244	cellulose biosynthetic process
default-0_rep_c50708|m.35050	GO:0006412	translation
default-0_rep_c45105|m.31256	GO:0006334	nucleosome assembly
default-0_rep_c15961|m.12846	GO:0009765	photosynthesis, light harvesting
default-0_rep_c107322|m.66490	GO:0006886	intracellular protein transport
default-0_rep_c107322|m.66490	GO:0006913	nucleocytoplasmic transport
default-0_rep_c107322|m.66490	GO:0007165	signal transduction
default-0_rep_c107322|m.66490	GO:0015031	protein transport
default-0_rep_c107322|m.66490	GO:0007264	small GTPase mediated signal transduction
default-0_c113322|m.69855	GO:0006468	protein phosphorylation
default-0_c113322|m.69855	GO:0000278	mitotic cell cycle
default-0_c113322|m.69855	GO:0000226	microtubule cytoskeleton organization
default-0_c113322|m.69855	GO:0007049	cell cycle
default-0_c113322|m.69855	GO:0032465	regulation of cytokinesis
default-0_c113322|m.69855	GO:0007059	chromosome segregation
default-0_c103946|m.64771	GO:0055114	oxidation-reduction process
default-0_rep_c44287|m.30626	GO:0006412	translation
default-0_rep_c72813|m.48847	GO:0060918	auxin transport
default-0_rep_c72813|m.48847	GO:0048513	animal organ development
default-0_rep_c17059|m.13626	GO:0006556	S-adenosylmethionine biosynthetic process
default-0_rep_c116465|m.71560	GO:0006950	response to stress
default-0_c29628|m.22040	GO:0055114	oxidation-reduction process
default-0_c86601|m.57392	GO:0006812	cation transport
default-0_c86601|m.57392	GO:0055085	transmembrane transport
default-0_rep_c28906|m.21587	GO:0006468	protein phosphorylation
default-0_rep_c69478|m.46375	GO:0006334	nucleosome assembly
default-0_rep_c9460|m.7989	GO:0035556	intracellular signal transduction
default-0_c78921|m.53085	GO:0006468	protein phosphorylation
default-0_c93628|m.60499	GO:0008152	metabolic process
default-0_c93242|m.60320	GO:0016567	protein ubiquitination
default-0_c71034|m.47286	GO:0006468	protein phosphorylation
default-0_rep_c1151|m.1022	GO:0006096	glycolytic process
default-0_rep_c45018|m.31196	GO:0008033	tRNA processing
default-0_rep_c45018|m.31196	GO:0006364	rRNA processing
default-0_c15646|m.12603	GO:0008152	metabolic process
default-0_rep_c4063|m.3575	GO:0006839	mitochondrial transport
default-0_rep_c86431|m.57289	GO:0006465	signal peptide processing
default-0_rep_c22295|m.17361	GO:2000031	regulation of salicylic acid mediated signaling pathway
default-0_rep_c22295|m.17361	GO:0071446	cellular response to salicylic acid stimulus
default-0_rep_c22295|m.17361	GO:0031347	regulation of defense response
default-0_rep_c108293|m.67141	GO:0006457	protein folding
default-0_rep_c114391|m.70470	GO:0006396	RNA processing
default-0_rep_c11075|m.9225	GO:0015031	protein transport
default-0_c101112|m.63604	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c20972|m.16457	GO:0045492	xylan biosynthetic process
default-0_rep_c59124|m.40540	GO:0006412	translation
default-0_rep_c55126|m.37864	GO:0006412	translation
default-0_rep_c73310|m.49241	GO:0055114	oxidation-reduction process
default-0_c101562|m.63793	GO:0006508	proteolysis
default-0_rep_c50359|m.34830	GO:0006886	intracellular protein transport
default-0_rep_c50359|m.34830	GO:0016192	vesicle-mediated transport
default-0_rep_c60004|m.41089	GO:0055114	oxidation-reduction process
default-0_rep_c43758|m.30207	GO:0055114	oxidation-reduction process
default-0_rep_c43758|m.30207	GO:0006979	response to oxidative stress
default-0_rep_c21234|m.16619	GO:0055114	oxidation-reduction process
default-0_rep_c20189|m.15949	GO:0007165	signal transduction
default-0_rep_c20189|m.15949	GO:0015031	protein transport
default-0_rep_c20189|m.15949	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c52774|m.36261	GO:0007017	microtubule-based process
default-0_rep_c44743|m.30974	GO:0006351	transcription, DNA-templated
default-0_rep_c5913|m.5160	GO:0006457	protein folding
default-0_c19558|m.15453	GO:0002100	tRNA wobble adenosine to inosine editing
default-0_rep_c6660|m.5771	GO:0006479	protein methylation
default-0_rep_c62295|m.42520	GO:0006508	proteolysis
default-0_c110943|m.68683	GO:0055085	transmembrane transport
default-0_c12421|m.10236	GO:0006355	regulation of transcription, DNA-templated
default-0_dn_rep_c272|m.307	GO:0006412	translation
default-0_rep_c24840|m.19080	GO:0006468	protein phosphorylation
default-0_c22674|m.17614	GO:0006508	proteolysis
default-0_c22674|m.17613	GO:0006508	proteolysis
default-0_rep_c73331|m.49257	GO:0006468	protein phosphorylation
default-0_rep_c105846|m.65615	GO:0009765	photosynthesis, light harvesting
default-0_rep_c60936|m.41703	GO:0006412	translation
default-0_rep_c25327|m.19403	GO:0007017	microtubule-based process
default-0_rep_c67411|m.45455	GO:0006950	response to stress
default-0_c13716|m.11197	GO:0008152	metabolic process
default-0_rep_c3706|m.3249	GO:0055114	oxidation-reduction process
default-0_rep_c57298|m.39366	GO:0006468	protein phosphorylation
default-0_rep_c39630|m.27517	GO:0008152	metabolic process
default-0_rep_c38388|m.26789	GO:0006412	translation
default-0_rep_c66472|m.44968	GO:0006334	nucleosome assembly
default-0_c47513|m.32928	GO:0005992	trehalose biosynthetic process
default-0_c26613|m.20263	GO:0055114	oxidation-reduction process
default-0_c26613|m.20263	GO:0006979	response to oxidative stress
default-0_rep_c43486|m.29977	GO:0006508	proteolysis
default-0_rep_c2473|m.2178	GO:0006098	pentose-phosphate shunt
default-0_rep_c2473|m.2178	GO:0055114	oxidation-reduction process
default-0_rep_c49651|m.34391	GO:0055085	transmembrane transport
default-0_rep_c49651|m.34391	GO:0006814	sodium ion transport
default-0_c20454|m.16149	GO:0006468	protein phosphorylation
default-0_c22615|m.17571	GO:0006508	proteolysis
default-0_c22615|m.17570	GO:0006508	proteolysis
default-0_rep_c40562|m.28027	GO:0006412	translation
default-0_c100898|m.63508	GO:0006351	transcription, DNA-templated
default-0_c100898|m.63508	GO:0044237	cellular metabolic process
default-0_rep_c23968|m.18465	GO:0010207	photosystem II assembly
default-0_rep_c72796|m.48836	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c52624|m.36178	GO:0006950	response to stress
default-0_c19950|m.15771	GO:0006265	DNA topological change
default-0_rep_c18986|m.15021	GO:0000154	rRNA modification
default-0_c4298|m.3780	GO:0006621	protein retention in ER lumen
default-0_rep_c62720|m.42779	GO:0006412	translation
default-0_c88203|m.58184	GO:0015031	protein transport
default-0_c88203|m.58184	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c26134|m.19943	GO:0055114	oxidation-reduction process
default-0_rep_c26134|m.19943	GO:0006979	response to oxidative stress
default-0_rep_c55337|m.38044	GO:0006801	superoxide metabolic process
default-0_rep_c55337|m.38044	GO:0055114	oxidation-reduction process
default-0_rep_c15430|m.12438	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c64107|m.43588	GO:0030150	protein import into mitochondrial matrix
default-0_rep_c18879|m.14948	GO:0015986	ATP synthesis coupled proton transport
default-0_rep_c35434|m.25137	GO:0045454	cell redox homeostasis
default-0_rep_c112284|m.69288	GO:0015986	ATP synthesis coupled proton transport
default-0_c32233|m.23466	GO:0055085	transmembrane transport
default-0_c47055|m.32606	GO:0007165	signal transduction
default-0_c47055|m.32606	GO:0015031	protein transport
default-0_c47055|m.32606	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c16334|m.13114	GO:0006414	translational elongation
default-0_rep_c16043|m.12903	GO:0022900	electron transport chain
default-0_rep_c116908|m.71781	GO:0015991	ATP hydrolysis coupled proton transport
default-0_c94209|m.60780	GO:0007264	small GTPase mediated signal transduction
default-0_c44461|m.30774	GO:0006633	fatty acid biosynthetic process
default-0_c44461|m.30774	GO:0055114	oxidation-reduction process
default-0_c16404|m.13172	GO:0008152	metabolic process
default-0_rep_c7117|m.6135	GO:0030001	metal ion transport
default-0_rep_c54496|m.37407	GO:0015031	protein transport
default-0_rep_c54496|m.37407	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c16592|m.13303	GO:0009765	photosynthesis, light harvesting
default-0_rep_c11080|m.9229	GO:0055085	transmembrane transport
default-0_rep_c4343|m.3825	GO:0006412	translation
default-0_rep_c48001|m.33249	GO:0055114	oxidation-reduction process
default-0_c76858|m.51743	GO:0006886	intracellular protein transport
default-0_c76858|m.51743	GO:0006810	transport
default-0_c76858|m.51743	GO:0016192	vesicle-mediated transport
default-0_c83976|m.55995	GO:0006810	transport
default-0_rep_c78643|m.52900	GO:0006412	translation
default-0_rep_c31914|m.23283	GO:0005975	carbohydrate metabolic process
default-0_c2184|m.1900	GO:0006629	lipid metabolic process
default-0_dn_rep_c1559|m.1341	GO:0042254	ribosome biogenesis
default-0_rep_c49603|m.34361	GO:0006412	translation
default-0_rep_c108717|m.67419	GO:0009052	pentose-phosphate shunt, non-oxidative branch
default-0_rep_c12924|m.10587	GO:0006412	translation
default-0_rep_c114349|m.70446	GO:0006810	transport
default-0_rep_c37674|m.26391	GO:0006412	translation
default-0_rep_c17402|m.13857	GO:0015979	photosynthesis
default-0_rep_c108822|m.67491	GO:0006413	translational initiation
default-0_rep_c27630|m.20844	GO:0046907	intracellular transport
default-0_rep_c88334|m.58240	GO:0046907	intracellular transport
default-0_rep_c76140|m.51279	GO:0008152	metabolic process
default-0_rep_c81877|m.54855	GO:0051013	microtubule severing
default-0_rep_c114276|m.70406	GO:0006364	rRNA processing
default-0_rep_c13369|m.10919	GO:0006457	protein folding
default-0_c25395|m.19458	GO:0015914	phospholipid transport
default-0_c25395|m.19459	GO:0015914	phospholipid transport
default-0_c7002|m.6045	GO:0055114	oxidation-reduction process
default-0_rep_c30940|m.22812	GO:0006412	translation
default-0_rep_c45275|m.31385	GO:0008152	metabolic process
default-0_rep_c71064|m.47320	GO:0051205	protein insertion into membrane
default-0_rep_c20340|m.16069	GO:0005975	carbohydrate metabolic process
default-0_rep_c20340|m.16069	GO:0006098	pentose-phosphate shunt
default-0_c104803|m.65173	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c14507|m.11767	GO:0006412	translation
default-0_rep_c58889|m.40389	GO:0006760	folic acid-containing compound metabolic process
default-0_rep_c49878|m.34547	GO:0006508	proteolysis
default-0_rep_c49878|m.34546	GO:0032502	developmental process
default-0_rep_c49878|m.34546	GO:0006351	transcription, DNA-templated
default-0_rep_c73177|m.49128	GO:0008299	isoprenoid biosynthetic process
default-0_rep_c80698|m.54188	GO:0006099	tricarboxylic acid cycle
default-0_rep_c80698|m.54188	GO:0055114	oxidation-reduction process
default-0_rep_c110067|m.68220	GO:0007017	microtubule-based process
default-0_rep_c113672|m.70031	GO:0006412	translation
default-0_c89037|m.58532	GO:0005975	carbohydrate metabolic process
default-0_c11934|m.9871	GO:0042545	cell wall modification
default-0_rep_c107898|m.66889	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c74691|m.50304	GO:0006412	translation
default-0_rep_c114672|m.70632	GO:0051603	proteolysis involved in cellular protein catabolic process
default-0_rep_c74158|m.49878	GO:0006508	proteolysis
default-0_c39150|m.27238	GO:0006952	defense response
default-0_c39150|m.27238	GO:0009607	response to biotic stimulus
default-0_c80062|m.53822	GO:0001522	pseudouridine synthesis
default-0_c80062|m.53822	GO:0009451	RNA modification
default-0_rep_c61167|m.41839	GO:0055085	transmembrane transport
default-0_rep_c106962|m.66245	GO:0055114	oxidation-reduction process
default-0_c9398|m.7948	GO:0055114	oxidation-reduction process
default-0_c9398|m.7948	GO:0006694	steroid biosynthetic process
default-0_c78829|m.53032	GO:0007165	signal transduction
default-0_rep_c31722|m.23187	GO:0006869	lipid transport
default-0_c79099|m.53202	GO:0006139	nucleobase-containing compound metabolic process
default-0_rep_c90902|m.59305	GO:0006281	DNA repair
default-0_rep_c25655|m.19644	GO:0046294	formaldehyde catabolic process
default-0_rep_c73995|m.49771	GO:0000910	cytokinesis
default-0_rep_c73995|m.49771	GO:0000226	microtubule cytoskeleton organization
default-0_rep_c63609|m.43302	GO:0006412	translation
default-0_rep_c11689|m.9670	GO:0006470	protein dephosphorylation
default-0_dn_rep_c287|m.323	GO:0006412	translation
default-0_rep_c209|m.247	GO:0008152	metabolic process
default-0_rep_c16715|m.13392	GO:0006412	translation
default-0_c72561|m.48655	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c27670|m.20874	GO:0006810	transport
default-0_rep_c27670|m.20874	GO:0055085	transmembrane transport
default-0_c43715|m.30171	GO:0006468	protein phosphorylation
default-0_rep_c38310|m.26731	GO:0006412	translation
default-0_rep_c61200|m.41859	GO:0006412	translation
default-0_rep_c62301|m.42522	GO:0006412	translation
default-0_rep_c49417|m.34243	GO:0055114	oxidation-reduction process
default-0_rep_c116332|m.71501	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c6327|m.5489	GO:0006886	intracellular protein transport
default-0_rep_c6327|m.5489	GO:0006913	nucleocytoplasmic transport
default-0_rep_c6327|m.5489	GO:0007165	signal transduction
default-0_rep_c6327|m.5489	GO:0015031	protein transport
default-0_rep_c6327|m.5489	GO:0007264	small GTPase mediated signal transduction
default-0_c108456|m.67248	GO:0006364	rRNA processing
default-0_rep_c73257|m.49200	GO:0055114	oxidation-reduction process
default-0_rep_c105895|m.65643	GO:0006412	translation
default-0_rep_c60753|m.41609	GO:0055114	oxidation-reduction process
default-0_rep_c79484|m.53434	GO:0055114	oxidation-reduction process
default-0_rep_c3233|m.2837	GO:0009664	plant-type cell wall organization
default-0_rep_c11756|m.9727	GO:0006270	DNA replication initiation
default-0_rep_c11756|m.9727	GO:0006260	DNA replication
default-0_rep_c77201|m.51975	GO:0055114	oxidation-reduction process
default-0_rep_c55843|m.38412	GO:0051603	proteolysis involved in cellular protein catabolic process
default-0_rep_c70935|m.47210	GO:0055114	oxidation-reduction process
default-0_dn_rep_c98185|m.62440	GO:0055114	oxidation-reduction process
default-0_rep_c34296|m.24561	GO:0006351	transcription, DNA-templated
default-0_c91931|m.59756	GO:0071555	cell wall organization
default-0_c91931|m.59756	GO:0009058	biosynthetic process
default-0_rep_c48939|m.33900	GO:0015979	photosynthesis
default-0_c10755|m.8977	GO:0006412	translation
default-0_rep_c57277|m.39354	GO:0006412	translation
default-0_rep_c44139|m.30519	GO:0009664	plant-type cell wall organization
default-0_c99571|m.62974	GO:0006508	proteolysis
default-0_rep_c47791|m.33109	GO:0006412	translation
default-0_rep_c57545|m.39528	GO:0007165	signal transduction
default-0_rep_c57545|m.39528	GO:0015031	protein transport
default-0_rep_c57545|m.39528	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c55002|m.37770	GO:0015031	protein transport
default-0_rep_c55002|m.37770	GO:0006886	intracellular protein transport
default-0_rep_c55002|m.37770	GO:0006605	protein targeting
default-0_c54894|m.37697	GO:0006508	proteolysis
default-0_rep_c72228|m.48368	GO:0005975	carbohydrate metabolic process
default-0_rep_c66034|m.44716	GO:0006412	translation
default-0_rep_c69097|m.46247	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c11511|m.9538	GO:0009765	photosynthesis, light harvesting
default-0_dn_rep_c85|m.104	GO:0055114	oxidation-reduction process
default-0_rep_c6362|m.5525	GO:0030244	cellulose biosynthetic process
default-0_rep_c12576|m.10342	GO:0015886	heme transport
default-0_rep_c12576|m.10342	GO:0017004	cytochrome complex assembly
default-0_rep_c21897|m.17096	GO:0006457	protein folding
default-0_rep_c21897|m.17094	GO:0006457	protein folding
default-0_rep_c79213|m.53263	GO:0006412	translation
default-0_dn_rep_c159|m.190	GO:0009765	photosynthesis, light harvesting
default-0_rep_c35395|m.25115	GO:0006486	protein glycosylation
default-0_rep_c63655|m.43323	GO:0006368	transcription elongation from RNA polymerase II promoter
default-0_rep_c63655|m.43323	GO:0016570	histone modification
default-0_rep_c3174|m.2793	GO:0008152	metabolic process
default-0_c73766|m.49599	GO:0007165	signal transduction
default-0_c17085|m.13645	GO:0006418	tRNA aminoacylation for protein translation
default-0_rep_c56569|m.38891	GO:0006412	translation
default-0_rep_c104366|m.64970	GO:0055114	oxidation-reduction process
default-0_rep_c104366|m.64970	GO:0006979	response to oxidative stress
default-0_rep_c49983|m.34627	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c11418|m.9467	GO:0006729	tetrahydrobiopterin biosynthetic process
default-0_rep_c104506|m.65038	GO:0006412	translation
default-0_rep_c269|m.304	GO:0006810	transport
default-0_rep_c269|m.304	GO:0055085	transmembrane transport
default-0_c93592|m.60484	GO:0055114	oxidation-reduction process
default-0_rep_c97516|m.62202	GO:0006810	transport
default-0_rep_c106896|m.66192	GO:0009058	biosynthetic process
default-0_rep_c106896|m.66191	GO:0009058	biosynthetic process
default-0_rep_c104961|m.65255	GO:0015991	ATP hydrolysis coupled proton transport
default-0_rep_c72141|m.48298	GO:0006499	N-terminal protein myristoylation
default-0_rep_c45641|m.31653	GO:0005975	carbohydrate metabolic process
default-0_c12577|m.10343	GO:0006810	transport
default-0_rep_c45347|m.31437	GO:0006412	translation
default-0_rep_c89199|m.58603	GO:0006556	S-adenosylmethionine biosynthetic process
default-0_dn_rep_c25840|m.19761	GO:0006412	translation
default-0_rep_c15490|m.12483	GO:0055114	oxidation-reduction process
default-0_rep_c55205|m.37934	GO:0008299	isoprenoid biosynthetic process
default-0_c80615|m.54142	GO:0015986	ATP synthesis coupled proton transport
default-0_c80467|m.54060	GO:0006508	proteolysis
default-0_c95463|m.61364	GO:0006468	protein phosphorylation
default-0_c20309|m.16044	GO:0005975	carbohydrate metabolic process
default-0_c20309|m.16044	GO:0046835	carbohydrate phosphorylation
default-0_c20309|m.16044	GO:0001678	cellular glucose homeostasis
default-0_c20309|m.16044	GO:0006096	glycolytic process
default-0_rep_c107454|m.66579	GO:0006412	translation
default-0_rep_c44783|m.31010	GO:0006468	protein phosphorylation
default-0_rep_c23322|m.18040	GO:0006508	proteolysis
default-0_rep_c3009|m.2638	GO:0007017	microtubule-based process
default-0_rep_c36008|m.25433	GO:0009058	biosynthetic process
default-0_rep_c93207|m.60311	GO:0022900	electron transport chain
default-0_rep_c9266|m.7835	GO:0006418	tRNA aminoacylation for protein translation
default-0_rep_c30068|m.22321	GO:0006950	response to stress
default-0_rep_c29136|m.21729	GO:0006457	protein folding
default-0_rep_c5139|m.4531	GO:0006096	glycolytic process
default-0_rep_c45207|m.31333	GO:0008152	metabolic process
default-0_rep_c75238|m.50694	GO:0055114	oxidation-reduction process
default-0_rep_c5557|m.4854	GO:0006508	proteolysis
default-0_rep_c51132|m.35311	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c51132|m.35311	GO:0006338	chromatin remodeling
default-0_rep_c51132|m.35311	GO:0006281	DNA repair
default-0_rep_c95176|m.61226	GO:0006633	fatty acid biosynthetic process
default-0_rep_c95176|m.61226	GO:0008152	metabolic process
default-0_rep_c95176|m.61226	GO:0008610	lipid biosynthetic process
default-0_rep_c95681|m.61464	GO:0006412	translation
default-0_c6567|m.5702	GO:0006139	nucleobase-containing compound metabolic process
default-0_rep_c12104|m.10001	GO:0006412	translation
default-0_rep_c97658|m.62254	GO:0055114	oxidation-reduction process
default-0_c15118|m.12199	GO:0055085	transmembrane transport
default-0_rep_c72741|m.48796	GO:0022904	respiratory electron transport chain
default-0_rep_c46429|m.32162	GO:0006468	protein phosphorylation
default-0_rep_c46429|m.32162	GO:0007049	cell cycle
default-0_rep_c36056|m.25463	GO:0006508	proteolysis
default-0_c106852|m.66165	GO:0006412	translation
default-0_rep_c59739|m.40919	GO:0006457	protein folding
default-0_rep_c43829|m.30269	GO:0006457	protein folding
default-0_rep_c52772|m.36257	GO:0006886	intracellular protein transport
default-0_rep_c52772|m.36257	GO:0006913	nucleocytoplasmic transport
default-0_rep_c52772|m.36257	GO:0007165	signal transduction
default-0_rep_c52772|m.36257	GO:0015031	protein transport
default-0_rep_c52772|m.36257	GO:0007264	small GTPase mediated signal transduction
default-0_c19786|m.15620	GO:0055114	oxidation-reduction process
default-0_rep_c23027|m.17828	GO:0006807	nitrogen compound metabolic process
default-0_c70514|m.46794	GO:0006561	proline biosynthetic process
default-0_c70514|m.46794	GO:0008152	metabolic process
default-0_c70514|m.46794	GO:0055114	oxidation-reduction process
default-0_c112638|m.69473	GO:0006099	tricarboxylic acid cycle
default-0_c112638|m.69473	GO:0015977	carbon fixation
default-0_rep_c174|m.207	GO:0055114	oxidation-reduction process
default-0_rep_c174|m.207	GO:0009082	branched-chain amino acid biosynthetic process
default-0_rep_c61281|m.41913	GO:0006886	intracellular protein transport
default-0_rep_c4101|m.3608	GO:0009186	deoxyribonucleoside diphosphate metabolic process
default-0_rep_c4101|m.3608	GO:0055114	oxidation-reduction process
default-0_rep_c59046|m.40501	GO:0006412	translation
default-0_rep_c5640|m.4929	GO:0006633	fatty acid biosynthetic process
default-0_c96060|m.61633	GO:0030418	nicotianamine biosynthetic process
default-0_rep_c206|m.245	GO:0009765	photosynthesis, light harvesting
default-0_rep_c8802|m.7465	GO:0006796	phosphate-containing compound metabolic process
default-0_rep_c30460|m.22549	GO:0015979	photosynthesis
default-0_rep_c65142|m.44208	GO:0055114	oxidation-reduction process
default-0_rep_c16332|m.13113	GO:0030001	metal ion transport
default-0_rep_c1937|m.1673	GO:0005975	carbohydrate metabolic process
default-0_c106743|m.66089	GO:0006810	transport
default-0_c106743|m.66089	GO:0006888	ER to Golgi vesicle-mediated transport
default-0_rep_c109052|m.67643	GO:0006412	translation
default-0_rep_c61076|m.41781	GO:0006508	proteolysis
default-0_rep_c113955|m.70203	GO:0015979	photosynthesis
default-0_rep_c48799|m.33792	GO:0006334	nucleosome assembly
default-0_rep_c41413|m.28513	GO:0006886	intracellular protein transport
default-0_rep_c41413|m.28513	GO:0006913	nucleocytoplasmic transport
default-0_rep_c41413|m.28513	GO:0007165	signal transduction
default-0_rep_c41413|m.28513	GO:0007264	small GTPase mediated signal transduction
default-0_c97514|m.62201	GO:0015074	DNA integration
default-0_c81885|m.54859	GO:0006355	regulation of transcription, DNA-templated
default-0_rep_c38475|m.26843	GO:0006412	translation
default-0_rep_c26081|m.19908	GO:0006479	protein methylation
default-0_rep_c92827|m.60150	GO:0016255	attachment of GPI anchor to protein
default-0_rep_c41050|m.28340	GO:0007017	microtubule-based process
default-0_rep_c54263|m.37255	GO:0009765	photosynthesis, light harvesting
default-0_rep_c36049|m.25458	GO:0006412	translation
default-0_rep_c5125|m.4523	GO:0006032	chitin catabolic process
default-0_rep_c5125|m.4523	GO:0005975	carbohydrate metabolic process
default-0_rep_c5125|m.4523	GO:0016998	cell wall macromolecule catabolic process
default-0_rep_c74359|m.50030	GO:0006468	protein phosphorylation
default-0_rep_c28086|m.21104	GO:0006468	protein phosphorylation
default-0_rep_c106812|m.66138	GO:0045454	cell redox homeostasis
default-0_rep_c106812|m.66138	GO:0055114	oxidation-reduction process
default-0_rep_c49357|m.34197	GO:0006412	translation
default-0_rep_c64365|m.43753	GO:0015991	ATP hydrolysis coupled proton transport
default-0_rep_c24288|m.18708	GO:0006886	intracellular protein transport
default-0_rep_c24288|m.18708	GO:0016192	vesicle-mediated transport
default-0_rep_c8289|m.7080	GO:0005975	carbohydrate metabolic process
default-0_rep_c105341|m.65417	GO:0005975	carbohydrate metabolic process
default-0_rep_c105341|m.65418	GO:0005975	carbohydrate metabolic process
default-0_c63027|m.42965	GO:0008152	metabolic process
default-0_rep_c106627|m.66009	GO:0000160	phosphorelay signal transduction system
default-0_rep_c94590|m.60961	GO:0042254	ribosome biogenesis
default-0_dn_rep_c2137|m.1855	GO:0009765	photosynthesis, light harvesting
default-0_rep_c2312|m.2020	GO:0006412	translation
default-0_c108862|m.67521	GO:0006396	RNA processing
default-0_rep_c28165|m.21143	GO:0006665	sphingolipid metabolic process
default-0_rep_c57138|m.39277	GO:0006397	mRNA processing
default-0_rep_c64050|m.43546	GO:0006412	translation
default-0_c71777|m.47985	GO:0006418	tRNA aminoacylation for protein translation
default-0_c78336|m.52702	GO:0006952	defense response
default-0_c78336|m.52702	GO:0009607	response to biotic stimulus
default-0_rep_c59857|m.40990	GO:0006412	translation
default-0_rep_c112784|m.69547	GO:0006098	pentose-phosphate shunt
default-0_rep_c112784|m.69547	GO:0055114	oxidation-reduction process
default-0_c109610|m.67968	GO:0006468	protein phosphorylation
default-0_rep_c45136|m.31279	GO:0006413	translational initiation
default-0_c105330|m.65410	GO:0006527	arginine catabolic process
default-0_c105330|m.65410	GO:0008295	spermidine biosynthetic process
default-0_rep_c1931|m.1669	GO:0006468	protein phosphorylation
default-0_rep_c1931|m.1669	GO:0007165	signal transduction
default-0_rep_c22492|m.17486	GO:0055114	oxidation-reduction process
default-0_rep_c6455|m.5606	GO:0042254	ribosome biogenesis
default-0_rep_c58453|m.40114	GO:0008152	metabolic process
default-0_rep_c5885|m.5137	GO:0006228	UTP biosynthetic process
default-0_rep_c5885|m.5137	GO:0006241	CTP biosynthetic process
default-0_rep_c5885|m.5137	GO:0006183	GTP biosynthetic process
default-0_rep_c5885|m.5137	GO:0006165	nucleoside diphosphate phosphorylation
default-0_c99882|m.63090	GO:0008152	metabolic process
default-0_rep_c50277|m.34778	GO:0015031	protein transport
default-0_rep_c50277|m.34778	GO:0007264	small GTPase mediated signal transduction
default-0_c70469|m.46752	GO:0006529	asparagine biosynthetic process
default-0_rep_c54816|m.37633	GO:0009058	biosynthetic process
default-0_rep_c65886|m.44638	GO:0006412	translation
default-0_rep_c467|m.500	GO:0006412	translation
default-0_rep_c61757|m.42216	GO:0055114	oxidation-reduction process
default-0_rep_c14143|m.11505	GO:0032957	inositol trisphosphate metabolic process
default-0_c79003|m.53146	GO:0006468	protein phosphorylation
default-0_rep_c57175|m.39296	GO:0055114	oxidation-reduction process
default-0_rep_c57175|m.39296	GO:0006979	response to oxidative stress
default-0_rep_c13617|m.11109	GO:0006355	regulation of transcription, DNA-templated
default-0_c11012|m.9182	GO:0008152	metabolic process
default-0_rep_c14876|m.12018	GO:0006086	acetyl-CoA biosynthetic process from pyruvate
default-0_rep_c14876|m.12018	GO:0008152	metabolic process
default-0_rep_c24799|m.19053	GO:0006412	translation
default-0_c45303|m.31405	GO:0006468	protein phosphorylation
default-0_c2109|m.1833	GO:0006886	intracellular protein transport
default-0_c2109|m.1833	GO:0006913	nucleocytoplasmic transport
default-0_c2109|m.1833	GO:0007165	signal transduction
default-0_c2109|m.1833	GO:0015031	protein transport
default-0_c2109|m.1833	GO:0007264	small GTPase mediated signal transduction
default-0_rep_c68421|m.45927	GO:0006412	translation
default-0_c39029|m.27171	GO:0006508	proteolysis
